Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/14/2015 	_x86_64_	(24 CPU)

09:11:23 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:11:38 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

09:11:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:11:39 PM     all      0.42      0.00      0.29      0.00      0.00     99.29
09:11:39 PM       0      1.01      0.00      0.00      0.00      0.00     98.99
09:11:39 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM       2      1.01      0.00      0.00      0.00      0.00     98.99
09:11:39 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM       4      0.00      0.00      0.99      0.00      0.00     99.01
09:11:39 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM      11      0.00      0.00      1.02      0.00      0.00     98.98
09:11:39 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM      13      1.00      0.00      1.00      0.00      0.00     98.00
09:11:39 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM      16      0.99      0.00      0.99      0.00      0.00     98.02
09:11:39 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM      18      0.99      0.00      0.00      0.00      0.00     99.01
09:11:39 PM      19      3.03      0.00      2.02      0.00      0.00     94.95
09:11:39 PM      20      0.99      0.00      0.99      0.00      0.00     98.02
09:11:39 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:11:39 PM      23      0.99      0.00      0.99      0.00      0.00     98.02

09:11:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:11:40 PM     all      0.21      0.00      0.25      0.00      0.00     99.54
09:11:40 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
09:11:40 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM       8      0.00      0.00      0.99      0.00      0.00     99.01
09:11:40 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM      10      0.99      0.00      0.99      0.00      0.00     98.02
09:11:40 PM      11      0.99      0.00      0.99      0.00      0.00     98.02
09:11:40 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM      13      0.00      0.00      1.01      0.00      0.00     98.99
09:11:40 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM      19      1.00      0.00      1.00      0.00      0.00     98.00
09:11:40 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:11:40 PM      23      1.00      0.00      1.00      0.00      0.00     98.00

09:11:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:11:41 PM     all      0.46      0.00      0.33      0.00      0.00     99.21
09:11:41 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
09:11:41 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM       5      1.00      0.00      0.00      0.00      0.00     99.00
09:11:41 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM      11      1.01      0.00      1.01      0.00      0.00     97.98
09:11:41 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM      13      4.95      0.00      2.97      0.00      0.00     92.08
09:11:41 PM      14      0.00      0.00      0.99      0.00      0.00     99.01
09:11:41 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM      16      1.00      0.00      0.00      0.00      0.00     99.00
09:11:41 PM      17      0.00      0.00      0.99      0.00      0.00     99.01
09:11:41 PM      18      0.00      0.00      1.00      0.00      0.00     99.00
09:11:41 PM      19      0.00      0.00      1.01      0.00      0.00     98.99
09:11:41 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:11:41 PM      22      1.00      0.00      0.00      0.00      0.00     99.00
09:11:41 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

09:11:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:11:42 PM     all      0.21      0.00      0.25      0.00      0.00     99.54
09:11:42 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM       1      0.99      0.00      0.99      0.00      0.00     98.02
09:11:42 PM       2      1.00      0.00      1.00      0.00      0.00     98.00
09:11:42 PM       3      0.00      0.00      1.00      0.00      0.00     99.00
09:11:42 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM       8      0.00      0.00      0.99      0.00      0.00     99.01
09:11:42 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM      11      2.00      0.00      2.00      0.00      0.00     96.00
09:11:42 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM      13      0.00      0.00      2.00      0.00      0.00     98.00
09:11:42 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM      18      0.99      0.00      0.00      0.00      0.00     99.01
09:11:42 PM      19      1.00      0.00      1.00      0.00      0.00     98.00
09:11:42 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM      21      0.00      0.00      0.99      0.00      0.00     99.01
09:11:42 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:11:42 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

09:11:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:11:43 PM     all      0.42      0.00      0.29      0.00      0.00     99.29
09:11:43 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
09:11:43 PM       3      1.98      0.00      0.00      0.00      0.00     98.02
09:11:43 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
09:11:43 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM      13      4.00      0.00      2.00      0.00      0.00     94.00
09:11:43 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM      19      0.99      0.00      0.99      0.00      0.00     98.02
09:11:43 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:11:43 PM      23      1.00      0.00      1.00      0.00      0.00     98.00

09:11:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:11:44 PM     all      0.21      0.00      0.25      0.00      0.00     99.54
09:11:44 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM       6      0.00      0.00      0.99      0.00      0.00     99.01
09:11:44 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM      11      1.00      0.00      2.00      0.00      0.00     97.00
09:11:44 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM      13      0.00      0.00      2.00      0.00      0.00     98.00
09:11:44 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM      15      1.00      0.00      0.00      0.00      0.00     99.00
09:11:44 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM      17      0.00      0.00      1.00      0.00      0.00     99.00
09:11:44 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM      19      0.00      0.00      1.01      0.00      0.00     98.99
09:11:44 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:11:44 PM      23      0.00      0.00      1.00      0.00      0.00     99.00

09:11:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:11:45 PM     all      0.38      0.00      0.29      0.00      0.00     99.33
09:11:45 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:11:45 PM       1      1.01      0.00      0.00      0.00      0.00     98.99
09:11:45 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
09:11:45 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:11:45 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:11:45 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:11:45 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:11:45 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:11:45 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:11:45 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:11:45 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
09:11:45 PM      11      1.00      0.00      2.00      0.00      0.00     97.00
09:11:45 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:11:45 PM      13      1.01      0.00      1.01      0.00      0.00     97.98
09:11:45 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
