Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/17/2015 	_x86_64_	(24 CPU)

01:26:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:05 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      13      0.00      0.00      1.00      0.00      0.00     99.00
01:27:05 PM      14      0.00      0.00      0.99      0.00      0.00     99.01
01:27:05 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      16      1.00      0.00      1.00      0.00      0.00     98.00
01:27:05 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

01:27:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:06 PM     all      0.42      0.00      0.25      0.00      0.00     99.33
01:27:06 PM       0      0.99      0.00      0.00      0.00      0.00     99.01
01:27:06 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       4      1.00      0.00      1.00      0.00      0.00     98.00
01:27:06 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       9      0.00      0.00      1.00      0.00      0.00     99.00
01:27:06 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      16      0.00      0.00      1.00      0.00      0.00     99.00
01:27:06 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      19      2.97      0.00      1.98      0.00      0.00     95.05
01:27:06 PM      20      2.97      0.00      0.99      0.00      0.00     96.04
01:27:06 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

01:27:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:07 PM     all      0.04      0.00      0.08      0.00      0.00     99.87
01:27:07 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM       4      0.00      0.00      1.00      0.00      0.00     99.00
01:27:07 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM      11      0.00      0.00      0.99      0.00      0.00     99.01
01:27:07 PM      12      0.00      0.00      0.99      0.00      0.00     99.01
01:27:07 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM      16      1.00      0.00      1.00      0.00      0.00     98.00
01:27:07 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM      21      0.98      0.00      0.98      0.00      0.00     98.04
01:27:07 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:27:07 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

01:27:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:08 PM     all      0.29      0.00      0.17      0.04      0.00     99.50
01:27:08 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM       1      0.00      0.00      0.99      0.00      0.00     99.01
01:27:08 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM       8      0.00      0.00      0.00      1.00      0.00     99.00
01:27:08 PM       9      1.00      0.00      0.00      0.00      0.00     99.00
01:27:08 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM      14      1.00      0.00      0.00      0.00      0.00     99.00
01:27:08 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM      19      4.00      0.00      1.00      0.00      0.00     95.00
01:27:08 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:27:08 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

01:27:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:09 PM     all      0.04      0.00      0.08      0.00      0.00     99.87
01:27:09 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:27:09 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
